Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
"VIDEO 🎥

El Centro de Operaciones de Emergencia Institucional del #MSPAS se encuentra activo ante la llegada de más… https://t.co/zTwiNI99lZ",https://twitter.com/i/web/status/1327391393904533506,13/11/2020 17:22:24,Twitter for iPhone,2,3,Ministerio de Salud Pública,17:22:24,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
Autoridades del @MinSaludGuate continúan evaluando la situación de la red hospitalaria donde impactó la depresión t… https://t.co/oZDTf8V1F0,https://twitter.com/i/web/status/1327393305169162241,13/11/2020 17:30:00,TweetDeck,4,0,Gobierno Guatemala,17:30:00,http://pbs.twimg.com/profile_images/1292921828256735234/sNXpArrM.jpg
"#Sabíasque: la actividad física ayuda a las personas con #diabetes a

🔹Mantener un peso saludable
🔹Reducir la presi… https://t.co/AK5OPz4zLf",https://twitter.com/i/web/status/1327393387247525888,13/11/2020 17:30:19,TweetDeck,23,11,OPS/OMS,17:30:19,http://pbs.twimg.com/profile_images/1096094749902028801/ijbQWupW.png
"VIDEO 🎥

Personal del #MSPAS brinda asistencia en salud mental y apoyo psicológico a las personas que se encuentran… https://t.co/99hPgCV8td",https://twitter.com/i/web/status/1327396280021229570,13/11/2020 17:41:49,Twitter for iPhone,3,0,Ministerio de Salud Pública,17:41:49,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
"RT @PNCdeGuatemala: Agentes de la Subdirección General de Prevencion del Delito, visitaron y  dieron un paseo a  niños  que se encuentran r…",https://twitter.com/i/web/status/1327398998064369666,13/11/2020 17:52:37,Twitter for iPhone,0,2,MinGob,17:52:37,http://pbs.twimg.com/profile_images/1219274761961951237/aSdvPUzB.jpg
Hombres detenidos por negación de asistencia económica https://t.co/dcrQ5Ut8xP,https://twitter.com/i/web/status/1327399924468748288,13/11/2020 17:56:18,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com",2,0,MinGob,17:56:18,http://pbs.twimg.com/profile_images/1219274761961951237/aSdvPUzB.jpg
#Noticiero Mingob 13/11/2020 https://t.co/yjHPrlowOi,https://twitter.com/i/web/status/1327399959877066759,13/11/2020 17:56:26,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com",1,0,MinGob,17:56:26,http://pbs.twimg.com/profile_images/1219274761961951237/aSdvPUzB.jpg
"¿Vives en San Catarina Pinula, #Guatemala?

El #LaboratorioMóvil del #MSPAS estará mañana 14 de noviembre 2020 en a… https://t.co/uDoInPsJu5",https://twitter.com/i/web/status/1327400859374940160,13/11/2020 18:00:01,Twitter Web App,3,1,Ministerio de Salud Pública,18:00:01,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
"RT @ConredGuatemala: 📌 Compartimos los Avisos como parte del monitoreo a la Tormenta Iota:

➡️Aviso 49 para Autoridades departamentales y m…",https://twitter.com/i/web/status/1327402600707346433,13/11/2020 18:06:56,Twitter for Android,0,18,Gobierno Guatemala,18:06:56,http://pbs.twimg.com/profile_images/1292921828256735234/sNXpArrM.jpg
Trabajo interinstitucional logra la capturan de dos personas por transporte de maíz de contrabando https://t.co/Y3fVx9fCGd,https://twitter.com/i/web/status/1327404626694443008,13/11/2020 18:14:59,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com",1,1,MinGob,18:14:59,http://pbs.twimg.com/profile_images/1219274761961951237/aSdvPUzB.jpg
Noticias Mingob No. 31 https://t.co/Mku0svw0kg,https://twitter.com/i/web/status/1327407159496339457,13/11/2020 18:25:03,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com",0,1,MinGob,18:25:03,http://pbs.twimg.com/profile_images/1219274761961951237/aSdvPUzB.jpg
RT @CAMINOS_CIV: @CIVguate Trabajos de mantenimiento en camino rural. https://t.co/Dw6MNJumsS,https://twitter.com/i/web/status/1327408887071465480,13/11/2020 18:31:55,Twitter for Android,0,1,Gobierno Guatemala,18:31:55,http://pbs.twimg.com/profile_images/1292921828256735234/sNXpArrM.jpg
"La ministra de Salud Pública, Dra. #AmeliaFlores, viceministros, director de COPRECOVID Dr. Edwin Asturias, jefes y… https://t.co/lkt1t5o3Ly",https://twitter.com/i/web/status/1327409406317899777,13/11/2020 18:33:59,Twitter for iPhone,5,2,Ministerio de Salud Pública,18:33:59,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
Durante la sesión se conoció el diagnóstico preliminar de la emergencia #Eta y su incidencia en la salud de la pobl… https://t.co/VQJLXsjHdQ,https://twitter.com/i/web/status/1327409435426381824,13/11/2020 18:34:06,Twitter for iPhone,2,0,Ministerio de Salud Pública,18:34:06,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
"Asimismo, los avances en los distintos proyectos que se impulsan desde la cartera de salud y la programación de act… https://t.co/NuDUJiZsT5",https://twitter.com/i/web/status/1327409468137746435,13/11/2020 18:34:13,Twitter for iPhone,1,0,Ministerio de Salud Pública,18:34:13,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
"RT @ConredGuatemala: SE PRONOSTICA INCREMENTO DE LLUVIAS... 

Más información en el siguiente enlace: https://t.co/KyHxoc67MG https://t.co/…",https://twitter.com/i/web/status/1327411562907361283,13/11/2020 18:42:33,Twitter for Android,0,10,Gobierno Guatemala,18:42:33,http://pbs.twimg.com/profile_images/1292921828256735234/sNXpArrM.jpg
"RT @MinSaludGuate: La ministra de Salud Pública, Dra. #AmeliaFlores, viceministros, director de COPRECOVID Dr. Edwin Asturias, jefes y dire…",https://twitter.com/i/web/status/1327411601901817858,13/11/2020 18:42:42,Twitter for Android,0,2,Gobierno Guatemala,18:42:42,http://pbs.twimg.com/profile_images/1292921828256735234/sNXpArrM.jpg
"#InformeNacional | El presidente @DrGiammattei recibió este día a su homólogo Honduras, Juan Orlando Hernández, a q… https://t.co/skXEiXQCWP",https://twitter.com/i/web/status/1327412083739254786,13/11/2020 18:44:37,Twitter for Android,22,19,Gobierno Guatemala,18:44:37,http://pbs.twimg.com/profile_images/1292921828256735234/sNXpArrM.jpg
"RT @GuatemalaGob: #InformeNacional | El presidente @DrGiammattei recibió este día a su homólogo Honduras, Juan Orlando Hernández, a quien e…",https://twitter.com/i/web/status/1327413771082616837,13/11/2020 18:51:19,Twitter for iPhone,0,19,MinGob,18:51:19,http://pbs.twimg.com/profile_images/1219274761961951237/aSdvPUzB.jpg
"¿Vives en Monjas, #Jalapa?

El #LaboratorioMóvil del #MSPAS estará mañana 14 de noviembre en el parque contiguo al… https://t.co/XBkqsUp05c",https://twitter.com/i/web/status/1327415955085996032,13/11/2020 19:00:00,Twitter Web App,1,0,Ministerio de Salud Pública,19:00:00,http://pbs.twimg.com/profile_images/1311755159027015685/QQcxgYd1.jpg
"Todos somos responsables de proteger a la niñez de la violencia

¡Denuncia ☎️ al 110 ó 1572!
#NOmasViolencia ❌
Cc.… https://t.co/tNHbZAhBk1",https://twitter.com/i/web/status/1327415955899768833,13/11/2020 19:00:00,Twitter Media Studio,1,0,MinGob,19:00:00,http://pbs.twimg.com/profile_images/1219274761961951237/aSdvPUzB.jpg
#ControlMigratorio | Compartimos los requisitos de ingreso a territorio guatemalteco para los países que integran e… https://t.co/tp4AwRcj4f,https://twitter.com/i/web/status/1327416111462309888,13/11/2020 19:00:37,Hootsuite Inc.,1,1,Migración Guatemala,19:00:37,http://pbs.twimg.com/profile_images/1290300788347146241/7sOKfiDS.jpg
"RT @GuatemalaGob: #InformeNacional | El presidente @DrGiammattei recibió este día a su homólogo Honduras, Juan Orlando Hernández, a quien e…",https://twitter.com/i/web/status/1327420953719169025,13/11/2020 19:19:52,Twitter for Android,0,19,Ejército Guatemala,19:19:52,http://pbs.twimg.com/profile_images/1319662500535803906/WdyAkHlu.jpg
#EjércitoGT en coordinación con @ConredGuatemala llevaron a cabo entrega de las cajas con ayuda humanitaria que… https://t.co/T5HRuTbZ8a,https://twitter.com/i/web/status/1327422048407326721,13/11/2020 19:24:13,Twitter for Android,9,4,Ejército Guatemala,19:24:13,http://pbs.twimg.com/profile_images/1319662500535803906/WdyAkHlu.jpg
El Presidente @DrGiammattei  y el Presidente de #Honduras @JuanOrlandoH  acordaron establecer una alianza para hace… https://t.co/aNqxBq2X9y,https://twitter.com/i/web/status/1327423096698101760,13/11/2020 19:28:23,Twitter Web App,2,3,MINEX Guatemala 🇬🇹,19:28:23,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
RT @InguatPrensa: @InguatMynor @ElmerHernandez0 @AGN_noticias @AyuntamientoLAG @MinexGt @TGWdigital @DiariodeCA,https://twitter.com/i/web/status/1327432799784202240,13/11/2020 20:06:56,Twitter Web App,0,1,MINEX Guatemala 🇬🇹,20:06:56,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
